   line             element
   5040.72          N IV     
   5040.72          N IV     
   5040.720         Fe II    
   5040.7404        Ni I     
   5040.757         Ni III   
   5040.759         Fe II    
   5040.772         Ni II    
   5040.8523        Fe I     
   5041.0           N V      
   5041.024         Si II    
   5041.070         Ca I     
   5041.0716        Fe I     
   5041.20          Ca III   
   5041.227         Ar I     
   5041.258         O II     
   5041.4           Ca I     
   5041.4           N I      
   5041.4           N I      
   5041.4           N I      
   5041.5859        Ne I     
   5041.6177        Ca I     
   5041.7558        Fe I     
   5041.776         C II     
   5041.842         Al I     
   5041.847         Ar I     
   5041.8491        Fe I     
   5041.967         Ni II    
   5041.9793        Fe I     
   5042.1865        Ni I     
   5042.250         Ar I     
   5042.29          N II     
   5042.34          Ar I     
   5042.38          Ar I     
   5042.430         Ni II    
   5042.6128        Fe I     
   5042.712         Ni II    
   5042.8496        Ne I     
   5042.9741        Si I     
   5042.99          Na II    
   5042.99          Na II    
   5042.99          Na II    
   5043.04          Na II    
   5043.04          Na II    
   5043.04          Na II    
   5043.04          Na II    
   5043.152         Ni II    
   5043.277         Ne II    
   5043.3           Ca I     
   5043.321         Ca I     
   5043.341         Ne II    
   5043.353         Ni II    
   5043.44          Ar I     
   5043.554         Ni II    
   5043.565         C II     
   5043.656         Ni II    
   5043.757         Ca I     
   5043.760         C I      
   5043.966         Ar I     
   5044.12          Ar I     
   5044.208         Ar I     
   5044.2109        Fe I     
   5044.221         S II     
   5044.221         S II     
   5044.356         C II     
   5044.754         Ca I     
   5044.95045       Ar II    
   5044.975         C II     
   5045.010         Ni II    
   5045.02          S IV     
   5045.099         N II     
   5045.1042        Ar II    
   5045.114         Fe II    
   5045.120         O II     
   5045.120         O II     
   5045.135         Ar I     
   5045.372         Ni II    
   5045.43          Ar I     
   5045.441         O II     
   5045.441         O II     
   5045.46          N II     
   5045.5019        Fe I     
   5045.680         Ni II    
   5045.792         Fe III   
   5045.818         Ne I     
   5045.932         Ni II    
   5046.02          Al I     
   5046.11          C I      
   5046.2           Ca I     
   5046.212         Ar I     
   5046.3879        Fe I     
   5046.480         Ni II    
   5046.538         N II     
   5046.541         Ni II    
   5046.548         Ni III   
   5046.55          Ar I     
   5046.5937        Ne I     
   5046.607         Ni II    
   5046.890         Ne II    
   5046.923         Ca III   
   5046.936         Ar I     
   5046.956         Ni II    
   5046.994         Ne II    
   5047.08          Na II    
   5047.08          Na II    
   5047.09271       Ar II    
   5047.11          Mg III   
   5047.117         C II     
   5047.1263        Fe I     
   5047.19          N III    
   5047.277         S II     
   5047.36          N IV     
   5047.377         Ni II    
   5047.399         Ar I     
   5047.64          O I      
   5047.641         Fe II    
   5047.7384        He I     
   5047.78          O I      
   5047.82          O I      
   5047.830         C II     
   5047.853         Ca III   
   5047.9           Ca I     
   5048.02          Ar I     
