      wl    A1  A2  A3
      #microns
       1553.7046   0.00010247726   0.00010247726   0.00019047727
       1589.3876   0.00010036624   0.00010036624   0.00018651249
       1625.8901   9.7583886e-05   9.7583886e-05   0.00018156777
       1663.2309   9.5420505e-05   9.5420505e-05   0.00017764101
       1701.4293   9.3294243e-05   9.3294243e-05   0.00017365707
       1740.5049   9.1174750e-05   9.1174750e-05   0.00016974951
       1780.4780   8.9064836e-05   8.9064836e-05   0.00016577472
       1821.3692   8.7031542e-05   8.7031542e-05   0.00016186308
       1863.1994   8.4945481e-05   8.4945481e-05   0.00015800000
       1905.9904   8.3354985e-05   8.3354985e-05   0.00015490997
       1949.7641   8.1410726e-05   8.1410726e-05   0.00015199999
       1994.5431   7.9712464e-05   7.9712464e-05   0.00014804154
       2040.3505   7.7868731e-05   7.7868731e-05   0.00014513746
       2087.2100   7.6374584e-05   7.6374584e-05   0.00014214917
       2135.1456   7.4795146e-05   7.4795146e-05   0.00013923786
       2184.1822   7.3217468e-05   7.3217468e-05   0.00013629368
       2234.3450   7.1743233e-05   7.1743233e-05   0.00013335808
       2285.6598   7.0205394e-05   7.0205394e-05   0.00013041078
       2338.1531   6.8779905e-05   6.8779905e-05   0.00012800000
       2391.8520   6.7504229e-05   6.7504229e-05   0.00012551057
       2446.7842   6.6176055e-05   6.6176055e-05   0.00012300001
       2502.9780   6.4840587e-05   6.4840587e-05   0.00012060147
       2560.4623   6.3604379e-05   6.3604379e-05   0.00011868126
       2619.2668   6.2414665e-05   6.2414665e-05   0.00011600000
       2679.4219   6.1214453e-05   6.1214453e-05   0.00011378613
       2740.9585   6.0026036e-05   6.0026036e-05   0.00011181509
       2803.9084   5.8876145e-05   5.8876145e-05   0.00010988072
       2868.3041   5.7776987e-05   5.7776987e-05   0.00010792329
       2934.1786   5.6696847e-05   5.6696847e-05   0.00010598949
       3001.5661   5.5631867e-05   5.5631867e-05   0.00010400000
       3070.5012   5.4641648e-05   5.4641648e-05   0.00010200000
       3141.0195   5.3649676e-05   5.3649676e-05   9.9833119e-05
       3213.1573   5.2742697e-05   5.2742697e-05   9.8106739e-05
       3286.9519   5.1753138e-05   5.1753138e-05   9.6332844e-05
       3362.4413   5.0869040e-05   5.0869040e-05   9.4638079e-05
       3439.6644   4.9977218e-05   4.9977218e-05   9.2954433e-05
       3518.6610   4.9093389e-05   4.9093389e-05   9.1286780e-05
       3599.4719   4.8200267e-05   4.8200267e-05   8.9700534e-05
       3682.1387   4.7312964e-05   4.7312964e-05   8.8125930e-05
       3766.7041   4.6520871e-05   4.6520871e-05   8.6541743e-05
       3853.2117   4.5734439e-05   4.5734439e-05   8.5001658e-05
       3941.7060   4.4948127e-05   4.4948127e-05   8.3596252e-05
       4032.2327   4.4054499e-05   4.4054499e-05   8.2108996e-05
       4124.8385   4.3368012e-05   4.3368012e-05   8.0652022e-05
       4219.5711   4.2578574e-05   4.2578574e-05   7.9257148e-05
       4316.4794   4.1888164e-05   4.1888164e-05   7.7876327e-05
       4415.6133   4.1102975e-05   4.1102975e-05   7.6505950e-05
       4517.0239   4.0415199e-05   4.0415199e-05   7.5222799e-05
       4620.7636   3.9723973e-05   3.9723973e-05   7.3935962e-05
       4726.8858   3.9018264e-05   3.9018264e-05   7.2654795e-05
       4835.4453   3.8323411e-05   3.8323411e-05   7.1370227e-05
       4946.4979   3.7658634e-05   3.7658634e-05   7.0087953e-05
       5060.1011   3.6968269e-05   3.6968269e-05   6.8902403e-05
       5176.3133   3.6377912e-05   3.6377912e-05   6.7616865e-05
       5295.1945   3.5689067e-05   3.5689067e-05   6.6533603e-05
